Dépôt,Catégorie,Étoiles,Forks,Contributeurs,Mainteneur unique,Issues ouvertes,PR ouvertes,Commits 30j,Commits 90j,Commits 365j,Jours depuis dernier commit,Maintenance,Nb releases,Dernière release,Jours depuis release,Releases/an,Archivé,Licence,Compat. propriétaire,SECURITY.md,Advisories,Dependabot,Renovate,CI/CD,Santé %,Langage,URL projet,preuve_licence,preuve_activite
Trusted-AI/adversarial-robustness-toolbox,Analyse/OCR,6053,1321,109,non,4,13,1,1,194,221,Ralenti (>6 mois),64,1.20.1,349,2,non,MIT,Compatible (permissive),oui,0,oui,non,oui,100,Python,https://adversarial-robustness-toolbox.readthedocs.io/en/latest/,https://github.com/Trusted-AI/adversarial-robustness-toolbox/blob/main/LICENSE,pushed_at=2025-12-12T07:01:28Z
open-mmlab/mmocr,Analyse/OCR,4739,781,82,non,160,33,1,1,1,572,Dormant (>1 an),20,v1.0.1,1084,0,non,Apache-2.0,Compatible (permissive),non,0,non,non,oui,75,Python,https://mmocr.readthedocs.io/en/dev-1.x/,https://github.com/open-mmlab/mmocr/blob/main/LICENSE,pushed_at=2024-11-27T09:38:10Z
sml2h3/ddddocr,Laboratoire offensif,14335,2296,6,non,113,6,1,1,7,108,Faible,0,,,0,non,MIT,Compatible (permissive),non,0,non,non,non,42,Python,https://ddddocr.com,https://github.com/sml2h3/ddddocr/blob/master/LICENSE,pushed_at=2026-03-10T16:49:52Z
ultrafunkamsterdam/undetected-chromedriver,Laboratoire offensif,12701,1337,11,non,0,0,1,1,2,352,Ralenti (>6 mois),0,,,0,non,GPL-3.0,Incompatible distribution propriétaire,non,0,non,non,oui,42,Python,https://github.com/UltrafunkAmsterdam/undetected-chromedriver,https://github.com/ultrafunkamsterdam/undetected-chromedriver/blob/master/LICENSE,pushed_at=2025-07-05T10:42:02Z
NopeCHALLC/nopecha-extension,Laboratoire offensif,10414,180,4,non,21,0,2,3,8,11,Faible,31,0.6.1,11,9,non,MIT,Compatible (permissive),non,0,non,non,non,42,,https://nopecha.com/,https://github.com/NopeCHALLC/nopecha-extension/blob/main/LICENSE,pushed_at=2026-06-11T13:17:51Z
dessant/buster,Laboratoire offensif,9143,681,2,oui,47,0,16,39,39,2,Active,28,v3.4.0,2,8,non,GPL-3.0,Incompatible distribution propriétaire,non,0,non,non,oui,57,JavaScript,https://chrome.google.com/webstore/detail/buster-captcha-solver-for/mpbjkejclgfgadiemmefgebjfooflfhl,https://github.com/dessant/buster/blob/main/LICENSE,pushed_at=2026-06-20T10:26:52Z
lining0806/PythonSpiderNotes,Laboratoire offensif,7444,2163,1,oui,12,0,1,1,1,1827,Dormant (>1 an),0,,,0,non,AUCUNE-OSI,À valider (licence non standard / absente),non,0,non,non,non,28,Python,,https://github.com/lining0806/PythonSpiderNotes/blob/master/LICENSE,pushed_at=2021-06-21T02:47:57Z
ultrafunkamsterdam/nodriver,Laboratoire offensif,4384,414,3,non,8,6,1,6,19,40,Faible,0,,,0,non,AGPL-3.0,Risque SaaS fort (copyleft réseau),non,0,non,non,oui,42,Python,,https://github.com/ultrafunkamsterdam/nodriver/blob/main/LICENSE,pushed_at=2026-05-13T13:58:15Z
kerlomz/captcha_trainer,Laboratoire offensif,3207,822,3,non,64,2,1,1,1,225,Ralenti (>6 mois),0,,,0,non,Apache-2.0,Compatible (permissive),non,0,non,non,non,42,Python,,https://github.com/kerlomz/captcha_trainer/blob/master/LICENSE,pushed_at=2025-11-09T11:37:45Z
zhaipro/easy12306,Laboratoire offensif,2911,726,2,oui,9,0,1,1,1,2213,Dormant (>1 an),3,4.0.0,2455,0,non,Artistic-2.0,Compatible (permissive),non,0,non,non,non,42,Python,,https://github.com/zhaipro/easy12306/blob/master/LICENSE,pushed_at=2021-03-04T10:20:41Z
